0 0 -nan 0.568816 0
0 0.2 -nan 0.573131 0
0 0.4 nan 0.572731 inf
0 0.6 -nan 0.571882 inf
0 0.8 -nan 0.570538 inf
0 1 -nan 0.576289 inf
0 1.2 nan 0.576857 0
0 1.4 -nan 0.574736 0
0 1.6 -nan 0.56936 0
0 1.8 -nan 0.567789 0
0 2 -nan 0.567537 0
0 2.2 -nan 0.569821 0
0 2.4 nan 0.573775 0
0 2.6 -nan 0.574929 0
0 2.8 -nan 0.573544 0
0 3 -nan 0.577902 0
0 3.2 nan 0.578735 0
0 3.4 -nan 0.575114 0
0 3.6 -nan 0.571993 0
0 3.8 -nan 0.568291 0
0.2 0 -nan 0.568598 0
0.2 0.2 -nan 0.571445 0
0.2 0.4 nan 0.571076 inf
0.2 0.6 -nan 0.568719 inf
0.2 0.8 -nan 0.569378 inf
0.2 1 -nan 0.574596 inf
0.2 1.2 nan 0.576785 0
0.2 1.4 -nan 0.573322 0
0.2 1.6 -nan 0.571604 0
0.2 1.8 -nan 0.573428 0
0.2 2 -nan 0.571161 0
0.2 2.2 -nan 0.573289 0
0.2 2.4 nan 0.574087 0
0.2 2.6 -nan 0.575259 0
0.2 2.8 -nan 0.57407 0
0.2 3 -nan 0.57457 0
0.2 3.2 nan 0.576142 0
0.2 3.4 -nan 0.572209 0
0.2 3.6 -nan 0.572817 0
0.2 3.8 -nan 0.572613 0
0.4 0 nan 0.569478 0
0.4 0.2 nan 0.572582 0
0.4 0.4 nan 0.570746 inf
0.4 0.6 nan 0.569856 inf
0.4 0.8 nan 0.567562 inf
0.4 1 nan 0.570811 inf
0.4 1.2 nan 0.575935 0
0.4 1.4 nan 0.575651 0
0.4 1.6 nan 0.574535 0
0.4 1.8 nan 0.572852 0
0.4 2 nan 0.574621 0
0.4 2.2 nan 0.572083 0
0.4 2.4 nan 0.573086 0
0.4 2.6 nan 0.573739 0
0.4 2.8 nan 0.570641 0
0.4 3 nan 0.572146 0
0.4 3.2 nan 0.575103 0
0.4 3.4 nan 0.573454 0
0.4 3.6 nan 0.574892 0
0.4 3.8 nan 0.574627 0
0.6 0 -nan 0.568933 0
0.6 0.2 -nan 0.568209 inf
0.6 0.4 nan 0.569851 inf
0.6 0.6 -nan 0.568073 inf
0.6 0.8 -nan 0.568301 inf
0.6 1 -nan 0.571092 inf
0.6 1.2 nan 0.572871 inf
0.6 1.4 -nan 0.572691 0
0.6 1.6 -nan 0.57247 0
0.6 1.8 -nan 0.571459 0
0.6 2 -nan 0.570608 0
0.6 2.2 -nan 0.572234 0
0.6 2.4 nan 0.571868 0
